Strategy,Date,TH Signal On,US Count,TH Count,US Group Cap,TH Group Cap,Stock Cap,Concentration Penalty,US Weight,TH Weight,Gold Weight,BTC Weight,Cash Weight,Raw Max Stock Weight,Case
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-06-30,False,50,0,0.7,0.3,0.05,0.02,0.700000000000001,0.0,0.2999999999999992,0.0,0.0,0.04999999999999996,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-07-31,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999964,0.30000000000000343,0.0,0.0,0.0,0.04999999999999971,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-08-29,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999986,0.30000000000000115,3.919886846057247e-16,0.0,0.0,0.049999999999999906,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-09-30,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999993,0.30000000000000054,1.8396641187464456e-16,0.0,0.0,0.04999999999999982,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-10-31,True,50,50,0.7,0.3,0.05,0.02,0.7000000000000004,0.29999999999999954,0.0,0.0,0.0,0.0499999999999998,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-11-28,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000007,0.0,0.29999999999999927,0.0,0.0,0.04999999999999991,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-12-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000006,0.0,0.2999999999999994,0.0,0.0,0.049999999999999906,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-01-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000001,0.0,0.29999999999999977,0.0,0.0,0.04999999999999997,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-02-27,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999986,0.3000000000000008,7.446859619654896e-16,0.0,0.0,0.04999999999999982,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-03-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000003,0.0,0.2999999999999996,0.0,0.0,0.04999999999999993,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-04-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000003,0.0,0.29999999999999954,0.0,0.0,0.049999999999999926,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-05-29,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000004,0.0,0.29999999999999954,0.0,0.0,0.04999999999999993,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-06-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000001,0.0,0.29999999999999977,0.0,0.0,0.04999999999999997,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-07-31,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999998,0.30000000000000027,0.0,0.0,0.0,0.05000000000000001,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-08-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000001,0.0,0.2999999999999999,0.0,0.0,0.04999999999999998,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-09-30,True,50,50,0.7,0.3,0.05,0.02,0.6506181614230248,0.30000000000000354,0.04938183857697171,0.0,0.0,0.04999999999999979,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-10-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000011,0.0,0.2999999999999989,0.0,0.0,0.04999999999999991,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-11-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000006,0.0,0.2999999999999995,0.0,0.0,0.04999999999999996,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2015-12-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000006,0.0,0.29999999999999916,0.0,0.0,0.04999999999999991,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-01-29,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000005,0.0,0.29999999999999943,0.0,0.0,0.04999999999999991,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-02-29,True,50,50,0.7,0.3,0.05,0.02,0.4000000000000002,0.3000000000000022,0.29999999999999755,0.0,0.0,0.049999999999999836,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-03-31,True,50,50,0.7,0.3,0.05,0.02,0.40000000000000097,0.30000000000000016,0.2999999999999989,0.0,0.0,0.049999999999999815,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-04-29,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000005,0.0,0.2999999999999995,0.0,0.0,0.04999999999999995,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-05-31,True,50,50,0.7,0.3,0.05,0.02,0.5999999999999986,0.30000000000000243,3.083152759444876e-16,0.09999999999999855,0.0,0.04999999999999985,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-06-30,False,50,0,0.7,0.3,0.05,0.02,0.6000000000000014,0.0,0.2999999999999991,0.09999999999999949,0.0,0.049999999999999885,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-07-29,True,50,50,0.7,0.3,0.05,0.02,0.599999999999999,0.30000000000000177,0.0,0.09999999999999927,0.0,0.049999999999999635,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-08-31,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999988,0.3000000000000011,0.0,0.0,0.0,0.049999999999999836,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-09-30,True,50,50,0.7,0.3,0.05,0.02,0.7,0.29999999999999993,0.0,0.0,0.0,0.049999999999999746,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-10-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000008,0.0,0.19999999999999962,0.09999999999999958,0.0,0.049999999999999926,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2016-11-30,True,50,50,0.7,0.3,0.05,0.02,0.599999999999997,0.3000000000000038,7.659823218629725e-16,0.0999999999999984,0.0,0.0499999999999998,Stock cap 5%
