Date,US Equity,TH Equity,JP Equity,Gold,BTC,Cash / Reduced Exposure,Strategy,JP Sleeve Mode,JP Assets,JP Internal Cap
2024-11-19,0.19999999999999998,0.19999999999999998,0.09999999999999999,0.3,0.1,0.10000000000000009,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-11-20,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-11-21,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-11-22,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-11-25,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-11-26,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-11-27,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-11-28,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-11-29,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-02,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-03,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-04,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-05,0.19999999999999998,0.19999999999999998,0.0,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-06,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-09,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-10,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-11,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-12,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-13,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-16,0.19999999999999998,0.09999999999999999,0.19999999999999998,0.3,0.1,0.09999999999999998,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
