,One-model US cap 70% / TH cap 30%,One-model US cap 70% / TH cap 30% + daily exposure,One-model US cap 70% / TH cap 40%,One-model US cap 70% / TH cap 40% + daily exposure,One-model US cap 80% / TH cap 30%,One-model US cap 80% / TH cap 30% + daily exposure,One-model US cap 80% / TH cap 40%,One-model US cap 80% / TH cap 40% + daily exposure
2008-07-30,10737.833114823912,9727.929201407913,10690.907546778564,9703.970276173977,10745.108490341296,9737.56575916182,10698.151120324674,9713.583093036714
2008-07-31,10663.322710361457,9694.177888101583,10616.722761369534,9670.302089006345,10643.910923761456,9691.711500913792,10597.39579884482,9667.841769313925
2008-08-01,10599.300666626796,9665.076214187102,10552.980501343332,9641.27208962969,10580.00542739992,9662.617231030526,10533.769576912337,9638.819155754018
2008-08-04,10516.758296343767,9627.442679448483,10470.798850729896,9603.731242556289,10497.613319368244,9624.993270994268,10451.737531946266,9601.2878598285
2008-08-05,10651.015508667344,9688.894772361806,10604.469343564997,9665.031985056889,10631.626126413474,9686.429729301297,10585.164687485692,9662.573006185097
2008-08-06,10679.25656201133,9701.739772629053,10632.586980251619,9677.84534936188,10659.815769018447,9699.27146155093,10613.231138083844,9675.38311051204
2008-08-07,10545.786741927455,9641.113386586432,10499.7004386614,9617.368280097819,10526.58892082386,9638.660500038735,10480.586506663749,9614.921427832915
2008-08-08,10609.669504304722,9670.314667183113,10563.304026005791,9646.497640835292,10590.355389379363,9667.854351262326,10544.074308357835,9644.043377474107
2008-08-11,10518.878330320056,9628.938297208606,10472.909619913415,9605.22317675814,10499.729493980221,9626.488508240178,10453.844458629814,9602.779414452229
2008-08-12,10453.026112827203,9598.797871629897,10407.345184199237,9575.156984059626,10433.997155555819,9596.355750971286,10388.399378146105,9572.720871198922
2008-08-13,10539.1023437781,9638.318883704835,10493.04525210221,9614.580659799783,10519.916691124618,9635.866708132962,10473.94343538195,9612.13451676165
2008-08-14,10513.89703133278,9626.793384142018,10467.950089776716,9603.083546399797,10494.75726307759,9624.344140881145,10448.893956952767,9600.640328458958
2008-08-15,10428.625544103103,9587.7550053814,10383.051248772168,9564.141315295954,10409.641006253867,9585.3156942425,10364.14966804074,9561.70800504333
2008-08-18,10374.35163708494,9562.806131655216,10329.014524981721,9539.253888172421,10355.465900850322,9560.373167994483,10310.211314129505,9536.826909782701
