,Best stock assets + Gold/BTC/BIL/IEF reoptimized Static Copula [US stock only] [mean_variance] max10 PIT reselect,Best stock assets + Gold/BTC/BIL/IEF reoptimized Dynamic HMM Copula [US stock only] [mean_variance] max10 PIT reselect
2020-06-01,13991.50334131029,14043.245739899037
2020-06-02,14147.7968696423,14196.668256558083
2020-06-03,14044.815214191942,14090.678833807271
2020-06-04,13944.575096749,13991.651975957466
2020-06-05,14171.356794243507,14228.63211865265
2020-06-08,14144.339041091394,14212.08667364424
2020-06-09,14343.176973327527,14414.491802212042
2020-06-10,14508.555156334414,14588.531703890016
2020-06-11,13605.02852890502,13679.900150232152
2020-06-12,13718.219480176382,13818.892876132868
2020-06-15,13836.460736239773,13933.859979352665
2020-06-16,14026.235387186867,14126.920798918254
2020-06-17,14184.240985518072,14290.988060901294
2020-06-18,14224.937533851878,14346.019731430564
2020-06-19,14200.467442896259,14331.3605728722
2020-06-22,14403.714988154941,14555.030708798124
2020-06-23,14431.894915868414,14588.948898608256
2020-06-24,14095.541209040095,14249.710248817935
2020-06-25,14252.87902309197,14417.57031751588
2020-06-26,13951.652333134647,14106.39758938033
2020-06-29,14006.058339675616,14151.359482287582
2020-06-30,14359.307881027233,14517.978978397068
2020-07-01,14461.86674140929,14621.671119509414
2020-07-02,14578.758540217672,14739.854578761606
2020-07-03,14604.93316855661,14766.31843810222
2020-07-06,14961.560951736752,15126.88697679639
2020-07-07,14776.66565186938,14939.948574268947
2020-07-08,15138.94205293114,15306.228148365504
2020-07-09,15158.739380206553,15326.24423713484
2020-07-10,15219.2079834837,15387.381021616675
2020-07-13,14868.872694033058,15033.174509034308
2020-07-14,15050.158128078077,15216.463156534703
2020-07-15,15104.572874287825,15271.479188514331
2020-07-16,14908.756100292056,15073.498629002519
2020-07-17,15061.140222218815,15227.566603385694
2020-07-20,15414.99779878939,15585.334324543483
2020-07-21,15360.343943192047,15530.076541005112
2020-07-22,15336.99958847079,15506.474229952551
2020-07-23,15035.295255571742,15201.436048515747
