Date,S&P 500 Buy Hold
2018-06-28,14152.232130829558
2018-06-29,14172.607340751338
2018-07-02,14202.907023735774
2018-07-03,14152.751210137334
2018-07-05,14268.213127856976
2018-07-06,14388.896372731295
2018-07-09,14518.46144174729
2018-07-10,14570.701655126602
2018-07-11,14464.124255731896
2018-07-12,14595.255543282075
2018-07-13,14606.750725184347
2018-07-16,14593.686630564633
2018-07-17,14652.727860549096
2018-07-18,14683.552909268908
2018-07-19,14628.173074332535
2018-07-20,14611.450278847986
2018-07-23,14638.622015069483
2018-07-24,14712.278291169383
2018-07-25,14837.663783890595
2018-07-26,14802.659158876004
2018-07-27,14702.360104534326
2018-07-30,14625.558818510852
2018-07-31,14697.65246832091
2018-08-01,14673.095885982179
2018-08-02,14753.034997440542
2018-08-03,14816.246823108924
2018-08-06,14870.583111063232
2018-08-07,14919.686397068743
2018-08-08,14913.42242099309
2018-08-09,14893.044516888052
2018-08-10,14793.26005154872
2018-08-13,14737.87931855126
2018-08-14,14831.920683244887
2018-08-15,14721.167299799747
2018-08-16,14840.280733895535
2018-08-17,14892.521845335934
2018-08-20,14924.391339098896
2018-08-21,14959.395964113492
2018-08-22,14950.511445788554
2018-08-23,14930.665193846497
2018-08-24,15020.514409390138
2018-08-27,15139.109662239238
2018-08-28,15146.425267846733
2018-08-29,15227.920719167332
2018-08-30,15166.279602338564
2018-08-31,15166.804070012853
2018-09-04,15140.679473017766
2018-09-05,15099.93084929638
2018-09-06,15054.481773850266
2018-09-07,15025.222943664636
2018-09-10,15051.344846476464
2018-09-11,15100.970804034097
2018-09-12,15104.624116532415
2018-09-13,15193.968621745656
2018-09-14,15196.576591139734
2018-09-17,15116.12289067903
2018-09-18,15198.146401918262
2018-09-19,15214.340239423087
2018-09-20,15337.638638180171
2018-09-21,15323.621700748086
2018-09-24,15272.721394509257
2018-09-25,15258.54999057036
2018-09-26,15212.894361074443
2018-09-27,15255.404980646785
2018-09-28,15256.974791425315
2018-10-01,15309.981948972169
2018-10-02,15301.053425654014
2018-10-03,15309.453889053535
2018-10-04,15189.801618306077
2018-10-05,15104.785767527908
2018-10-08,15104.785767527908
2018-10-09,15082.743756230298
2018-10-10,14605.170137672765
2018-10-11,14283.472083771137
2018-10-12,14481.845695144184
2018-10-15,14400.501118086053
2018-10-16,14715.377499977549
2018-10-17,14718.005226715522
2018-10-18,14505.460211403582
2018-10-19,14497.588705983784
2018-10-22,14432.511607439543
2018-10-23,14359.03853580121
2018-10-24,13923.983619365794
2018-10-25,14173.788291079563
2018-10-26,13924.509883162256
2018-10-29,13847.361047498456
2018-10-30,14052.562617309235
2018-10-31,14202.651974387303
2018-11-01,14353.799247424815
2018-11-02,14268.778906341213
2018-11-05,14347.496654722458
2018-11-06,14438.287936345432
2018-11-07,14747.395173819728
2018-11-08,14720.63474957567
2018-11-09,14576.838106528012
2018-11-12,14304.464261659085
2018-11-13,14277.701143231769
2018-11-14,14180.085495415404
2018-11-15,14328.08147210174
2018-11-16,14365.342026564653
2018-11-19,14122.360822983186
2018-11-20,13861.009779885233
2018-11-21,13908.2406085262
2018-11-23,13815.350558144972
2018-11-26,14038.387621125996
2018-11-27,14085.620245889133
2018-11-28,14409.946924589816
2018-11-29,14378.461800971707
2018-11-30,14466.097295938074
2018-12-03,14657.650133362074
2018-12-04,14182.711426031203
2018-12-06,14161.1929843468
2018-12-07,13832.14699463858
2018-12-10,13858.385645391607
2018-12-11,13861.533349498439
2018-12-12,13931.332453233474
2018-12-13,13926.606855798336
2018-12-14,13669.456942461231
2018-12-17,13401.285125414235
2018-12-18,13386.589253801047
2018-12-19,13186.113281425405
2018-12-20,12971.47219153847
2018-12-21,12705.693707285973
2018-12-24,12369.972429524658
2018-12-26,12994.964571490154
2018-12-27,13094.729279485593
2018-12-28,13077.83585239468
2018-12-31,13192.382645867572
2019-01-02,13206.10771344667
2019-01-03,12890.974486084546
2019-01-04,13322.764950471932
2019-01-07,13427.812053775899
2019-01-08,13553.97077709226
2019-01-09,13617.3146177403
2019-01-10,13665.350109114424
2019-01-11,13670.629810239696
2019-01-14,13587.225081050019
2019-01-15,13742.949771443458
2019-01-16,13776.199585095783
2019-01-17,13880.715934297854
2019-01-18,14065.471347361052
2019-01-22,13875.438927355843
2019-01-23,13904.474140331029
2019-01-24,13911.862488886498
2019-01-25,14029.577641871205
2019-01-28,13922.94635881133
2019-01-29,13904.474140331029
2019-01-30,14124.591606721093
2019-01-31,14248.640784546167
2019-02-01,14255.501073182999
2019-02-04,14355.795637219244
2019-02-05,14415.976506721989
2019-02-06,14396.969043834362
2019-02-07,14259.725552532085
2019-02-08,14277.14075311403
2019-02-11,14285.062549954653
2019-02-12,14468.76094511949
2019-02-13,14515.742112778513
2019-02-14,14483.538540291513
2019-02-15,14641.371878115153
2019-02-19,14666.708875537717
2019-02-20,14696.265862003936
2019-02-21,14644.013075769417
2019-02-22,14734.804357392393
2019-02-25,14754.862551750773
2019-02-26,14744.303149500232
2019-02-27,14737.969124659865
2019-02-28,14710.5234798071
2019-03-01,14802.371779328436
2019-03-04,14748.526730788233
2019-03-05,14728.470332552026
2019-03-06,14639.25784231844
2019-03-07,14516.791946188185
2019-03-08,14487.763019640603
2019-03-11,14697.857226248538
2019-03-12,14753.28106617813
2019-03-13,14850.93263643794
2019-03-14,14841.431150146842
2019-03-15,14914.758735889223
2019-03-18,14968.834586128558
2019-03-19,14972.546272597474
2019-03-20,14927.477975051876
2019-03-21,15096.085351725636
2019-03-22,14805.535648534824
